lat,long,district
21.016,105.825,đống đa
21.036,105.82,ba đình
21.037,105.757,nam từ liêm
21.035,105.772,cầu giấy
21.006,105.828,đống đa
21.046,105.849,ba đình
21.019,105.829,đống đa
21.04,105.738,nam từ liêm
21.028,105.838,đống đa
21.019,105.821,đống đa
20.989,105.772,nam từ liêm
21.009,105.805,cầu giấy
20.997,105.804,thanh xuân
21.008,105.821,đống đa
21.033,105.83,ba đình
21.005,105.833,đống đa
21.034,105.79,cầu giấy
21.02,105.822,đống đa
21.018,105.745,nam từ liêm
20.998,105.805,thanh xuân
21.038,105.742,nam từ liêm
21.01,105.799,cầu giấy
21.027,105.828,đống đa
21.006,105.851,hai bà trưng
21.035,105.846,hoàn kiếm
20.998,105.804,thanh xuân
21.015,105.83,đống đa
21.015,105.804,cầu giấy
21.009,105.833,đống đa
21.042,105.782,cầu giấy
20.995,105.773,nam từ liêm
21.009,105.816,đống đa
21.012,105.812,đống đa
20.997,105.845,hai bà trưng
21.018,105.812,đống đa
21.006,105.822,đống đa
20.997,105.825,thanh xuân
21.02,105.828,đống đa
21.011,105.81,cầu giấy
21.039,105.738,nam từ liêm
20.987,105.767,nam từ liêm
21.027,105.829,đống đa
21.046,105.8,cầu giấy
21.037,105.855,hoàn kiếm
21.028,105.825,ba đình
21.019,105.843,hai bà trưng
21.015,105.797,cầu giấy
21.006,105.834,đống đa
21.023,105.842,hoàn kiếm
20.991,105.849,hai bà trưng
20.995,105.845,hai bà trưng
21.035,105.748,nam từ liêm
21.031,105.834,ba đình
21.032,105.845,hoàn kiếm
21.023,105.832,đống đa
21.022,105.777,nam từ liêm
21.03,105.827,ba đình
21.031,105.855,hoàn kiếm
21.045,105.775,cầu giấy
21.044,105.845,ba đình
20.996,105.83,thanh xuân
20.99,105.836,thanh xuân
21.032,105.831,ba đình
21.036,105.855,hoàn kiếm
21.01,105.838,đống đa
21.015,105.746,nam từ liêm
21.019,105.82,đống đa
21.032,105.826,ba đình
20.99,105.837,thanh xuân
20.994,105.844,hai bà trưng
21.037,105.83,ba đình
21.03,105.846,hoàn kiếm
20.998,105.826,thanh xuân
21.046,105.84,ba đình
21.043,105.84,ba đình
21.031,105.845,hoàn kiếm
21.02,105.743,nam từ liêm
21.034,105.851,hoàn kiếm
20.995,105.779,nam từ liêm
20.996,105.748,nam từ liêm
21.029,105.845,hoàn kiếm
21.02,105.826,đống đa
21.046,105.799,cầu giấy
21.019,105.835,đống đa
21.013,105.82,đống đa
21.019,105.836,đống đa
21.009,105.801,cầu giấy
21.006,105.804,cầu giấy
21.008,105.804,cầu giấy
21.043,105.839,ba đình
21.008,105.827,đống đa
20.991,105.848,hai bà trưng
21.014,105.746,nam từ liêm
21.027,105.825,đống đa
21.013,105.807,cầu giấy
21.006,105.805,thanh xuân
21.042,105.84,ba đình
21.051,105.807,cầu giấy
21.019,105.819,ba đình
21.036,105.852,hoàn kiếm
20.996,105.86,hai bà trưng
20.997,105.843,hai bà trưng
21.023,105.859,hoàn kiếm
20.997,105.747,nam từ liêm
21.033,105.783,cầu giấy
21.011,105.847,hai bà trưng
21.032,105.851,hoàn kiếm
21.019,105.84,đống đa
21.035,105.854,hoàn kiếm
21.028,105.844,hoàn kiếm
21.025,105.859,hoàn kiếm
21.042,105.79,cầu giấy
21.031,105.817,ba đình
20.996,105.819,thanh xuân
21.026,105.834,đống đa
21.018,105.85,hai bà trưng
21.027,105.848,hoàn kiếm
21.021,105.827,đống đa
20.988,105.798,nam từ liêm
21.019,105.834,đống đa
21.038,105.758,nam từ liêm
21.034,105.763,nam từ liêm
21.032,105.849,hoàn kiếm
21.01,105.836,đống đa
21.02,105.792,cầu giấy
20.997,105.827,thanh xuân
21.038,105.825,ba đình
21.004,105.851,hai bà trưng
21.018,105.819,ba đình
21.016,105.841,đống đa
21.01,105.804,cầu giấy
21.014,105.856,hai bà trưng
21.04,105.845,ba đình
21.004,105.838,đống đa
21.042,105.82,ba đình
21.03,105.769,nam từ liêm
21.042,105.775,cầu giấy
21.017,105.85,hai bà trưng
21.018,105.796,cầu giấy
21.005,105.76,nam từ liêm
21.008,105.811,cầu giấy
21.021,105.831,đống đa
21.032,105.824,ba đình
20.995,105.856,hai bà trưng
20.997,105.752,nam từ liêm
20.995,105.815,thanh xuân
21.009,105.802,cầu giấy
21.022,105.855,hoàn kiếm
21.019,105.827,đống đa
21.029,105.837,đống đa
20.995,105.858,hai bà trưng
21.017,105.831,đống đa
21.017,105.819,đống đa
21.019,105.852,hoàn kiếm
21.017,105.827,đống đa
21.01,105.853,hai bà trưng
21.017,105.818,đống đa
20.995,105.859,hai bà trưng
21.031,105.821,ba đình
21.04,105.844,ba đình
20.997,105.753,nam từ liêm
21.032,105.823,ba đình
21.018,105.818,ba đình
20.997,105.811,thanh xuân
20.994,105.807,thanh xuân
21.027,105.862,hoàn kiếm
21.025,105.82,ba đình
21.018,105.791,cầu giấy
21.008,105.802,cầu giấy
21.007,105.802,cầu giấy
21.049,105.8,cầu giấy
21.049,105.799,cầu giấy
21.017,105.805,đống đa
21.01,105.823,đống đa
20.998,105.752,nam từ liêm
21.01,105.852,hai bà trưng
21.013,105.83,đống đa
21.03,105.855,hoàn kiếm
21.019,105.85,hai bà trưng
20.995,105.753,nam từ liêm
20.998,105.789,nam từ liêm
21.033,105.821,ba đình
21.042,105.818,ba đình
21.033,105.739,nam từ liêm
21.032,105.739,nam từ liêm
20.992,105.814,thanh xuân
21.019,105.842,hai bà trưng
21.03,105.857,hoàn kiếm
21.024,105.837,đống đa
21.031,105.847,hoàn kiếm
21.036,105.817,ba đình
21.009,105.856,hai bà trưng
20.997,105.862,hai bà trưng
21.027,105.831,đống đa
21.007,105.811,thanh xuân
20.99,105.77,nam từ liêm
21.036,105.812,ba đình
21.02,105.744,nam từ liêm
21.011,105.822,đống đa
21.027,105.834,đống đa
20.982,105.819,thanh xuân
20.998,105.753,nam từ liêm
21.038,105.853,hoàn kiếm
21.029,105.828,đống đa
21.033,105.847,hoàn kiếm
21.029,105.848,hoàn kiếm
21.042,105.817,ba đình
20.996,105.742,nam từ liêm
21.017,105.83,đống đa
21.031,105.842,ba đình
21.006,105.746,nam từ liêm
21.037,105.794,cầu giấy
21.033,105.819,ba đình
21.04,105.846,ba đình
21.022,105.793,cầu giấy
21.02,105.81,đống đa
21.026,105.862,hoàn kiếm
21.036,105.788,cầu giấy
21.004,105.836,đống đa
21.047,105.848,ba đình
20.985,105.763,nam từ liêm
21.025,105.851,hoàn kiếm
21.026,105.847,hoàn kiếm
21.048,105.84,ba đình
21.005,105.761,nam từ liêm
21.009,105.854,hai bà trưng
21.032,105.828,ba đình
21.031,105.822,ba đình
21.03,105.771,nam từ liêm
20.99,105.802,thanh xuân
20.997,105.801,thanh xuân
21.034,105.833,ba đình
20.996,105.849,hai bà trưng
21.025,105.854,hoàn kiếm
21.017,105.849,hai bà trưng
20.994,105.774,nam từ liêm
21.041,105.779,cầu giấy
21.041,105.84,ba đình
21.029,105.842,ba đình
21.032,105.848,hoàn kiếm
21.019,105.839,đống đa
21.028,105.845,hoàn kiếm
20.996,105.752,nam từ liêm
21.019,105.744,nam từ liêm
21.041,105.839,ba đình
21.027,105.836,đống đa
21.037,105.778,cầu giấy
20.996,105.753,nam từ liêm
20.998,105.801,thanh xuân
21.033,105.827,ba đình
21.007,105.812,thanh xuân
21.012,105.81,đống đa
21.019,105.81,đống đa
21.02,105.851,hoàn kiếm
21.008,105.861,hai bà trưng
21.035,105.75,nam từ liêm
21.031,105.859,hoàn kiếm
21.038,105.854,hoàn kiếm
21.042,105.784,cầu giấy
21.005,105.841,hai bà trưng
21.024,105.848,hoàn kiếm
21.035,105.845,hoàn kiếm
21.014,105.807,đống đa
21.039,105.846,hoàn kiếm
21.004,105.761,nam từ liêm
21.025,105.846,hoàn kiếm
21.026,105.84,đống đa
21.037,105.846,hoàn kiếm
21.016,105.853,hai bà trưng
21.032,105.834,ba đình
20.996,105.836,thanh xuân
21.039,105.774,cầu giấy
21.015,105.824,đống đa
21.021,105.85,hoàn kiếm
21.022,105.837,đống đa
21.021,105.863,hoàn kiếm
20.99,105.804,thanh xuân
20.99,105.771,nam từ liêm
21.047,105.842,ba đình
21.033,105.831,ba đình
20.993,105.753,nam từ liêm
21.03,105.845,hoàn kiếm
21.015,105.822,đống đa
21.037,105.854,hoàn kiếm
21.033,105.818,ba đình
21.024,105.827,đống đa
21.012,105.836,đống đa
21.005,105.752,nam từ liêm
21.03,105.823,ba đình
21.012,105.821,đống đa
21.016,105.83,đống đa
21.024,105.811,đống đa
21.016,105.798,cầu giấy
21.04,105.816,ba đình
21.039,105.823,ba đình
21.032,105.817,ba đình
20.996,105.773,nam từ liêm
21.004,105.75,nam từ liêm
21.039,105.822,ba đình
21.02,105.85,hoàn kiếm
21.015,105.857,hai bà trưng
21.019,105.838,đống đa
21.01,105.831,đống đa
21.018,105.803,đống đa
20.993,105.816,thanh xuân
21.034,105.855,hoàn kiếm
21.033,105.85,hoàn kiếm
21.012,105.829,đống đa
21.025,105.861,hoàn kiếm
21.048,105.842,ba đình
21.037,105.777,cầu giấy
21.023,105.837,đống đa
20.998,105.839,thanh xuân
21.02,105.829,đống đa
20.993,105.754,nam từ liêm
21.034,105.827,ba đình
21.012,105.826,đống đa
21.026,105.86,hoàn kiếm
20.998,105.838,thanh xuân
21.018,105.816,ba đình
20.996,105.848,hai bà trưng
21.02,105.823,đống đa
21.042,105.785,cầu giấy
21.007,105.832,đống đa
21.024,105.84,đống đa
21.021,105.809,đống đa
21.032,105.832,ba đình
21.019,105.858,hai bà trưng
21.008,105.813,thanh xuân
21.014,105.86,hai bà trưng
21.035,105.751,nam từ liêm
20.996,105.8,thanh xuân
21.027,105.844,hoàn kiếm
20.996,105.806,thanh xuân
20.991,105.771,nam từ liêm
21.022,105.85,hoàn kiếm
21.015,105.785,nam từ liêm
20.998,105.817,thanh xuân
21.004,105.855,hai bà trưng
21.031,105.8,cầu giấy
21.015,105.814,đống đa
21.006,105.861,hai bà trưng
20.996,105.854,hai bà trưng
21.038,105.855,hoàn kiếm
21.036,105.76,nam từ liêm
20.993,105.797,thanh xuân
21.048,105.799,cầu giấy
21.048,105.8,cầu giấy
21.036,105.761,nam từ liêm
21.045,105.842,ba đình
21.049,105.802,cầu giấy
21.047,105.799,cầu giấy
21.025,105.836,đống đa
21.031,105.851,hoàn kiếm
21.015,105.852,hai bà trưng
21.017,105.836,đống đa
21.04,105.791,cầu giấy
21.01,105.8,cầu giấy
21.019,105.857,hoàn kiếm
21.035,105.825,ba đình
20.995,105.857,hai bà trưng
21.01,105.819,đống đa
21.041,105.822,ba đình
21.043,105.842,ba đình
21.02,105.844,hai bà trưng
21.015,105.853,hai bà trưng
21.043,105.836,ba đình
21.02,105.813,ba đình
21.04,105.773,cầu giấy
20.987,105.797,thanh xuân
21.033,105.855,hoàn kiếm
21.029,105.843,hoàn kiếm
21.037,105.849,hoàn kiếm
21.031,105.785,cầu giấy
21.016,105.823,đống đa
21.026,105.85,hoàn kiếm
21.011,105.801,cầu giấy
20.998,105.871,hai bà trưng
20.987,105.789,nam từ liêm
21.004,105.834,đống đa
21.03,105.775,nam từ liêm
21.02,105.855,hoàn kiếm
20.998,105.796,nam từ liêm
21.032,105.853,hoàn kiếm
21.03,105.843,ba đình
21.016,105.858,hai bà trưng
21.019,105.853,hoàn kiếm
21.036,105.828,ba đình
21.049,105.801,cầu giấy
21.009,105.835,đống đa
21.013,105.79,cầu giấy
21.012,105.791,cầu giấy
21.011,105.79,nam từ liêm
21.012,105.789,nam từ liêm
21.016,105.788,nam từ liêm
21.015,105.788,nam từ liêm
21.015,105.787,nam từ liêm
21.008,105.805,cầu giấy
21.014,105.789,cầu giấy
21.016,105.789,cầu giấy
21.039,105.829,ba đình
21.034,105.796,cầu giấy
21.024,105.847,hoàn kiếm
21.009,105.863,hai bà trưng
21.01,105.807,cầu giấy
21.015,105.786,nam từ liêm
21.046,105.801,cầu giấy
21.035,105.815,ba đình
21.037,105.851,hoàn kiếm
21.033,105.848,hoàn kiếm
21.016,105.807,đống đa
21.035,105.838,ba đình
21.039,105.838,ba đình
21.021,105.784,cầu giấy
21.035,105.851,hoàn kiếm
21.036,105.829,ba đình
21.038,105.821,ba đình
21.03,105.859,hoàn kiếm
21.013,105.863,hai bà trưng
21.046,105.803,cầu giấy
21.018,105.858,hai bà trưng
21.042,105.841,ba đình
21.035,105.829,ba đình
21.012,105.849,hai bà trưng
21.038,105.852,hoàn kiếm
21.039,105.85,hoàn kiếm
21.018,105.854,hai bà trưng
21.023,105.849,hoàn kiếm
21.036,105.795,cầu giấy
20.989,105.798,thanh xuân
21.037,105.85,hoàn kiếm
21.016,105.81,đống đa
21.009,105.834,đống đa
21.03,105.851,hoàn kiếm
21.031,105.833,đống đa
21.028,105.806,ba đình
21.025,105.85,hoàn kiếm
21.039,105.848,hoàn kiếm
21.02,105.853,hoàn kiếm
21.011,105.825,đống đa
21.033,105.798,cầu giấy
21.019,105.808,đống đa
21.04,105.765,nam từ liêm
21.027,105.853,hoàn kiếm
21.041,105.806,ba đình
21.026,105.851,hoàn kiếm
20.998,105.861,hai bà trưng
21.039,105.787,cầu giấy
21.036,105.826,ba đình
21.056,105.809,cầu giấy
21.019,105.773,nam từ liêm
21.031,105.837,ba đình
21.028,105.779,nam từ liêm
21.01,105.822,đống đa
21.015,105.859,hai bà trưng
21.019,105.861,hoàn kiếm
21.042,105.845,ba đình
21.026,105.835,đống đa
21.008,105.819,đống đa
21.027,105.846,hoàn kiếm
21.018,105.849,hai bà trưng
21.027,105.847,hoàn kiếm
21.019,105.806,đống đa
21.024,105.844,hoàn kiếm
21.028,105.847,hoàn kiếm
21.041,105.794,cầu giấy
21.041,105.846,ba đình
21.027,105.839,đống đa
21.031,105.836,ba đình
21.014,105.841,đống đa
21.045,105.847,ba đình
21.047,105.781,cầu giấy
21.024,105.855,hoàn kiếm
21.026,105.848,hoàn kiếm
21.039,105.839,ba đình
21.026,105.855,hoàn kiếm
21.036,105.837,ba đình
21.019,105.851,hai bà trưng
21.021,105.855,hoàn kiếm
21.02,105.854,hoàn kiếm
21.029,105.825,đống đa
21.02,105.861,hoàn kiếm
21.03,105.842,ba đình
21.044,105.808,ba đình
21.031,105.835,ba đình
21.004,105.794,cầu giấy
20.991,105.802,thanh xuân
20.991,105.801,thanh xuân
21.031,105.843,ba đình
21.005,105.794,cầu giấy
20.993,105.802,thanh xuân
20.997,105.794,nam từ liêm
21.028,105.811,ba đình
21.03,105.783,cầu giấy
20.991,105.784,nam từ liêm
21.015,105.774,nam từ liêm
21.018,105.788,nam từ liêm
20.991,105.785,nam từ liêm
21.018,105.789,nam từ liêm
21.032,105.799,cầu giấy
21.02,105.852,hoàn kiếm
21.015,105.775,nam từ liêm
